,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,RA,DEC,DistFromEarthParsec
1564,Kepler-157 d,0,,0.13,7.02573474,,,,,,,,,transit,2016.0,16/05/10,19 24 23,+38 52 32,742.16,1.028,1.044,,5774.0,,Confirmed planets,291.09583333333336,583.1333333333333,742.1599991663268
1565,Kepler-157 b,0,,0.12029000000000001,1.7323419999999998,,,,,,,,,transit,2014.0,14/02/26,19 24 23,+38 52 32,742.16,1.028,1.044,,5774.0,,Confirmed planets,291.09583333333336,583.1333333333333,742.1599991663268
1566,HATS-23 b,0,1.47,1.86,2.1605156,0.03397,0.114,,,,81.02,,,transit,2015.0,16/07/11,19 05 28,-50 55 57,747.0,1.121,1.199,0.28,5780.0,4.2,Confirmed planets,286.3666666666667,-51.074999999999996,746.9999970361487
1567,YBP1514 b,0,0.4,,5.118,,0.39,327.49,,,,,,RV,2014.0,14/01/14,08 51 00.766,+11 53 11.51,750.0,0.96,0.89,0.03,5725.0,,"Confirmed planets, Planets in open clusters",132.75319166666668,178.29795833333333,749.9999975974728
1568,SAND364 b,0,1.54,,121.71,,0.35,273.51,,,,,,RV,2014.0,14/01/14,08 49 56.5208,+11 41 32.989,750.0,1.35,21.8,-0.02,4284.0,,"Confirmed planets, Planets in open clusters",132.48550333333333,175.38745416666666,750.0000035658506
1569,Kepler-151 b,0,,0.27886,15.228957999999999,,,,,,,,,transit,2014.0,14/02/26,19 28 39,+41 01 23,751.12,0.86,0.83,,5460.0,,Confirmed planets,292.1625,615.3458333333333,751.1199955466716
1570,Kepler-151 c,0,,0.19046,24.674612,,,,,,,,,transit,2014.0,14/02/26,19 28 39,+41 01 23,751.12,0.86,0.83,,5460.0,,Confirmed planets,292.1625,615.3458333333333,751.1199955466716
1571,Kepler-300 b,0,,0.15219000000000002,10.446347,,,,,,,,,transit,2014.0,14/02/26,19 41 09,+48 35 58,753.63,1.035,0.9,,5986.0,,Confirmed planets,295.2875,728.9916666666667,753.6300047980421
1572,Kepler-300 c,0,,0.20504,40.714954999999996,,,,,,,,,transit,2014.0,14/02/26,19 41 09,+48 35 58,753.63,1.035,0.9,,5986.0,,Confirmed planets,295.2875,728.9916666666667,753.6300047980421
1573,Kepler-379 c,0,,0.20869000000000001,62.784696999999994,,,,,,,,,transit,2014.0,14/02/26,19 42 48,+38 56 44,758.7,1.11,1.306,,6054.0,,Confirmed planets,295.7,584.1833333333333,758.7000044312456
